x,y
570.0231,512.33075
568.06,504.54
557.98,494.55334
547.21606,485.87036
540.85443,479.99368
533.2875,473.95
524.68665,469.38
515.13293,465.3734
508.97562,462.82925
502.21832,459.669
491.4855,455.74637
480.19016,451.55634
471.56668,449.44666
462.4155,446.69717
452.14706,443.2647
439.42307,437.62308
431.10938,433.5625
426.041,429.56558
419.38235,424.20587
411.38373,418.61627
402.81372,411.7745
399.2541,404.82788
398.58694,399.71738
398.95715,399.41428
398.5,400
393.6,400.7
391.5,403.5
390,402
390,408
384,414
380,412
382,418
374,414
372,416
365,418
359,415
358,414
355,417
353,415
346,410
338,407
330,406
322,401
315,398
314,395
310,393
303,390
299,386
298,383
299,379
298,375
299,371
299,365
307.7154,359.2077
312.35715,355.3
316.0493,353.27466
316.8871,352.35483
314.66666,353.4697
313.3772,355.2544
311.55453,356.82727
306.5,356.10938
301.80554,356.75
299.2077,357.54614
299.36206,357
298.74194,355.98386
299.4,357.76666
298.70636,359.6905
301.06717,363.51492
307.0263,369.8158
311.5909,374.44806
318.3889,379.09723
324,380.35135
329.0579,378.5
332.53613,377.01807
334.9186,379.46512
332.15714,385.02856
330.44366,392.03522
326.95456,395.82468
320.57407,396.74692
315.9737,399.17105
315.1,402.54285
311.57144,408.7
303.14178,414.93283
295.54544,421.66666
289.11765,428.5147
282.16666,433.5606
274.59525,436.64285
270.35483,436.1129
266.81146,433.9754
263.2,434.16666
259.25,434.1
257.99057,434.6887
258.03488,437.75583
260.10974,441.54877
265.9878,441.2805
270.06863,439.81372
274.93396,437.3113
281.83334,434.77084
288.5,431.35367
295.11224,425.92856
304.4524,419.6905
314.7903,413.9516
329.3302,405.25473
345.46225,395.82074
364.25,385.59616
384.9035,375.88596
404.46225,368.95282
422.7143,365.74286
439.60257,363.42307
454.6579,359.75
468.73685,354.03946
464.53333,352.6
473,350.72223
477.30646,351.2097
477.28262,351.93478
474.5645,349.08066
471.76086,345.5
469.56897,342.2931
469.41666,337.66666
469.86365,332.04544
471.07895,327.60526
472.5,321.84784
473.07144,314.85715
472.94446,308.72223
472.5,303.7
471.35715,294.92856
486.67856,285.4107
487.5893,275.42856
490.04236,265.3644
493.86923,258.06924
498.3393,248.875
503.28183,237.84546
507.57693,228.28847
512,222
513.96155,218.75641
515.3889,212.72223
516.2083,202.625
517.42,194.62
518.7045,192.45454
521.37177,189.6282
521.6429,187.5
519.8714,186.27142
518.3095,189.54762
517.9545,194.68182
514,198
514,198
509.83334,199.83333
507,202
507,209
507,214
507,218
506,217
502,223
505,223
501,231
499,235
497,242
491,246
491,254
491,263
489,269
486,277
483,285
484.125,292.25
484.25,297.2857
485.2381,301.3095
487.42453,304.78302
491.16666,308.46667
495.3254,309.88095
498.8718,308.57693
500.1184,308.3421
501.3642,309.43826
504.59784,314.7065
511.67044,320.72726
522.8049,327.86584
536.35364,336.9878
547.9778,344.0889
558.7088,349.7967
570.02576,355.43814
581.2353,364.06863
593.06177,372.1292
604.8371,377.92697
615.28644,380.00485
623.2431,378.91284
627.7632,378.26843
629.37756,379.30612
632.81683,381.6386
637.06665,384.1
641.4341,386.6978
644.8951,390.12964
649.0065,392.25323
650.7154,392.2077
650.30884,390.42648
651.0316,387.1329
653.4452,384.91095
658.0417,383.40277
664.9627,382.85822
675.1197,380.69717
687.1479,379.4014
697,382.0909
705.15216,386.1087
714.2759,389.13794
723.8226,390.14517
733.76666,388.66
739.1076,389.32278
743.0921,394.53946
747.1177,404.08823
751.1667,414.18182
755.6803,423.92624
758.29486,433.29486
759.7958,440.00705
762.70514,442.76923
768.03625,443.4855
773.43054,443.25
776.43335,442.02
780.7879,440.0606
788.1177,436.05884
796.4091,431.0606
802.425,428.35
805.5959,426.97946
809.81665,424.75
817.89703,421.9853
826.5411,419.5959
832.5685,418.02054
838.4322,417.26273
842.6129,416.14517
845.5952,411.88095
847.2344,405.95312
850.178,400.2966
853.63336,395.8
860.1667,390.81668
867.2833,385.01666
871.62823,379.47437
876.44366,374.96478
881.9179,370.18655
887.1,366.26
889.9643,363.9524
894.78,361.91333
897.9286,359.65585
898.86707,358.0443
899.4722,354.5139
901.14105,349.97437
902.29224,347.60388
906.8692,347.86923
910.2353,348.04413
913.22,346.16666
915.4726,342.5959
918.07745,339.82394
919.0192,338.8654
921.42,338.48
927.6064,338.4149
935.6818,338.04544
943.3281,339.875
951.13635,343.78787
957.2625,348.525
962.29224,354.46103
963.7805,360.17075
962.28876,364.30283
964.0604,366.01648
965.5597,364.03732
968.1625,363.425
966.9353,362.55884
967.9205,360.52274
969.17444,357.15115
968.9405,355.64285
968.36487,355.22974
970.2738,351.58334
969.6954,348.20114
968.45,343.4625
968.2889,337.16666
966.0395,329.4342
965.3889,319.15433
962.3415,310.41464
961.5625,303.9625
961.3333,304.15475
964.0783,306.46387
970.5133,305.3
978.11444,299.9217
983.12823,294.8718
